part_number,pipeSize,product_name,material,valve_size,pressureClass,pressure_rating,test_pressure,pressure_unit,bore_type,bore_size,end_connection,rtj_groove,groove_cladding,body_material,type,design_standard,gate_seat_material_and_coating,stem_material,standard_stud_nut_material,custom_stud_nut_material,operation,face_to_face,function,shape,seat_sealing,stem_packing,bonnet_seal_ring,stem_type,material_class,temperature_class,psl,psl_3g,pr,service,standard_painting_system,custom_painting,country_of_origin,application,weight,weight_unit,description,price_usd,pack_qty,lead_days,in_stock,inventory_available,inventory_on_hold,inventory_sold
1407M41,"2""",,316 Stainless Steel,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.85,1,0,yes,0,0,0
1407M42,"2""",,316 Stainless Steel,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.05,1,0,yes,0,0,0
1407M43,"2 1/2""",,Bronze,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.80,1,0,yes,0,0,0
1407M44,"2 1/2""",,Bronze,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.90,1,0,yes,0,0,0
1407M45,"2 1/2""",,Cast Iron,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.50,1,0,yes,0,0,0
1407M46,"2 1/2""",,Cast Iron,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.30,1,0,yes,0,0,0
1407M47,"2 1/2""",,316 Stainless Steel,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.05,1,0,yes,0,0,0
1407M48,"2 1/2""",,316 Stainless Steel,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.55,1,0,yes,0,0,0
1407M49,"3""",,Bronze,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.20,1,0,yes,0,0,0
1407M50,"3""",,Bronze,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.80,1,0,yes,0,0,0
1407M51,"3""",,Cast Iron,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.20,1,0,yes,0,0,0
1407M52,"3""",,Cast Iron,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.35,1,0,yes,0,0,0
1407M53,"3""",,316 Stainless Steel,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.65,1,0,yes,0,0,0
1407M54,"3""",,316 Stainless Steel,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.15,1,0,yes,0,0,0
1407M55,"4""",,Bronze,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.65,1,0,yes,0,0,0
1407M56,"4""",,Bronze,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.80,1,0,yes,0,0,0
1407M57,"4""",,Cast Iron,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.25,1,0,yes,0,0,0
1407M58,"4""",,Cast Iron,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.20,1,0,yes,0,0,0
1407M59,"4""",,316 Stainless Steel,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.35,1,0,yes,0,0,0
1407M60,"4""",,316 Stainless Steel,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.95,1,0,yes,0,0,0
1407M61,"5""",,Bronze,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.15,1,0,yes,0,0,0
1407M62,"5""",,Bronze,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.95,1,0,yes,0,0,0
1407M63,"5""",,Cast Iron,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.45,1,0,yes,0,0,0
1407M64,"5""",,Cast Iron,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,1,0,yes,0,0,0
1407M65,"5""",,316 Stainless Steel,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.05,1,0,yes,0,0,0
1407M66,"5""",,316 Stainless Steel,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.55,1,0,yes,0,0,0
1000000001,,Gate Valve,,"2-1/16""",,3000,6000,Psi,Full,"2-1/16""",API 6B RTJ Flange,RX24,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 4130 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,371 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,DD,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,80,kg,,0.00,1,0,yes,0,0,0
1000000002,,Gate Valve,,"2-1/16""",,3000,6000,Psi,Full,"2-1/16""",API 6B RTJ Flange,RX24,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 410 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,371 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,EE,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,80,kg,,0.00,1,0,yes,0,0,0
1000000003,,Gate Valve,,"2-1/16""",,3000,6000,Psi,Full,"2-1/16""",API 6B RTJ Flange,RX24,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 410 + 200µ Tungsten Carbide (HVOF),INCONEL 718,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,371 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,EE-NL,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,80,kg,,0.00,1,0,yes,0,0,0
1000000004,,Gate Valve,,"2-1/16""",,5000,7500,Psi,Full,"2-1/16""",API 6B RTJ Flange,RX24,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 4130 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,371 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,DD,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,80,kg,,0.00,1,0,yes,0,0,0
1000000005,,Gate Valve,,"2-1/16""",,5000,7500,Psi,Full,"2-1/16""",API 6B RTJ Flange,RX24,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 410 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,371 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,EE,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,80,kg,,0.00,1,0,yes,0,0,0
1000000006,,Gate Valve,,"2-1/16""",,5000,7500,Psi,Full,"2-1/16""",API 6B RTJ Flange,RX24,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 410 + 200µ Tungsten Carbide (HVOF),INCONEL 718,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,371 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,EE-NL,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,80,kg,,0.00,1,0,yes,0,0,0
1000000007,,Gate Valve,,"2-1/16""",,10000,15000,Psi,Full,"2-1/16""",API 6BX RTJ Flange,BX152,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 4130 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,521 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,DD,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,123,kg,,0.00,1,0,yes,0,0,0
1000000008,,Gate Valve,,"2-1/16""",,10000,15000,Psi,Full,"2-1/16""",API 6BX RTJ Flange,BX152,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 410 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,521 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,EE,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,123,kg,,0.00,1,0,yes,0,0,0
1000000009,,Gate Valve,,"2-1/16""",,10000,15000,Psi,Full,"2-1/16""",API 6BX RTJ Flange,BX152,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 410 + 200µ Tungsten Carbide (HVOF),INCONEL 718,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,521 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,EE-NL,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,123,kg,,0.00,1,0,yes,0,0,0
1000000010,,Gate Valve,,"3-1/8""",,3000,6000,Psi,Full,"3-1/8""",API 6B RTJ Flange,RX31,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 4130 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,435 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,DD,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,118,kg,,0.00,1,0,yes,0,0,0
1000000011,,Gate Valve,,"3-1/8""",,3000,6000,Psi,Full,"3-1/8""",API 6B RTJ Flange,RX31,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 410 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,435 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,EE,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,118,kg,,0.00,1,0,yes,0,0,0
1000000012,,Gate Valve,,"3-1/8""",,3000,6000,Psi,Full,"3-1/8""",API 6B RTJ Flange,RX31,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 410 + 200µ Tungsten Carbide (HVOF),INCONEL 718,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,435 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,EE-NL,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,118,kg,,0.00,1,0,yes,0,0,0
1000000013,,Gate Valve,,"3-1/8""",,5000,7500,Psi,Full,"3-1/8""",API 6B RTJ Flange,RX35,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 4130 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,473 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,DD,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,164,kg,,0.00,1,0,yes,0,0,0
1000000014,,Gate Valve,,"3-1/8""",,5000,7500,Psi,Full,"3-1/8""",API 6B RTJ Flange,RX35,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 410 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,473 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,EE,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,164,kg,,0.00,1,0,yes,0,0,0
1000000015,,Gate Valve,,"3-1/8""",,5000,7500,Psi,Full,"3-1/8""",API 6B RTJ Flange,RX35,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 410 + 200µ Tungsten Carbide (HVOF),INCONEL 718,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,473 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,EE-NL,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,164,kg,,0.00,1,0,yes,0,0,0
1000000016,,Gate Valve,,"3-1/16""",,10000,15000,Psi,Full,"3-1/16""",API 6BX RTJ Flange,BX154,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 4130 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,619 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,DD,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,240,kg,,0.00,1,0,yes,0,0,0
1000000017,,Gate Valve,,"3-1/16""",,10000,15000,Psi,Full,"3-1/16""",API 6BX RTJ Flange,BX154,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 410 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,619 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,EE,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,240,kg,,0.00,1,0,yes,0,0,0
1000000018,,Gate Valve,,"3-1/16""",,10000,15000,Psi,Full,"3-1/16""",API 6BX RTJ Flange,BX154,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 410 + 200µ Tungsten Carbide (HVOF),INCONEL 718,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,619 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,EE-NL,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,240,kg,,0.00,1,0,yes,0,0,0
1000000019,,Gate Valve,,"4-1/16""",,3000,6000,Psi,Full,"4-1/16""",API 6B RTJ Flange,RX37,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 4130 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,511 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,DD,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,205,kg,,0.00,1,0,yes,0,0,0
1000000020,,Gate Valve,,"4-1/16""",,3000,6000,Psi,Full,"4-1/16""",API 6B RTJ Flange,RX37,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 410 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,511 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,EE,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,205,kg,,0.00,1,0,yes,0,0,0
1000000021,,Gate Valve,,"4-1/16""",,3000,6000,Psi,Full,"4-1/16""",API 6B RTJ Flange,RX37,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 410 + 200µ Tungsten Carbide (HVOF),INCONEL 718,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,511 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,EE-NL,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,205,kg,,0.00,1,0,yes,0,0,0
1000000022,,Gate Valve,,"4-1/16""",,5000,7500,Psi,Full,"4-1/16""",API 6B RTJ Flange,RX39,Available upon customer request,Forged AISI 4130 (API 60K),Slab - Through Conduit,API 6A,AISI 4130 + 200µ Tungsten Carbide (HVOF),AISI 410 + QPQ,ASTM A193 B7 / ASTM A194 2H,Available upon customer request,Handwheel,549 mm,On/Off,Straight,Lip-Seal,HNBR + PTFE,SS316,Non-Rising,DD,"P + U 
(-29 ~ +121 °C)",3,Available upon customer request,2,Sour Oil & Gas Service – Compliant with NACE MR0175 / ISO 15156,7E System – RAL 1003 Top Coat,Available upon customer request,IRAN,High-Pressure Oil & Gas Wellhead Isolation Service,236,kg,,0.00,1,0,yes,0,0,0
